title,link,abstract
Assessing the correlation between the sustainable energy for all with doing a business by artificial neural network,/doi/10.1007/s00521-022-07638-y,"AbstractIn recent years, artificial intelligence-based solutions have become widespread in various fields and have been observed to produce important solutions to critical problems. In this context, it is aimed to assess and establish a direct correlation between energy production/consumption and establishing sustainable business models by using artificial intelligence models. Thus, artificial intelligence-based models have been developed by using parameters related to global energy consumption, doing business, and critical concepts of the relevant topics. The results show that the proposed artificial intelligent-based models reveal a significant correlation between doing business and energy. The outcome of the study could be used in the determination of country strategies in critical areas such as transportation, infrastructure, and education in the near and far future."
Intelligent Reflective Surface Based 6G Communications for Sustainable Energy Infrastructure,/doi/10.1109/MWC.016.2100179,"Advances in artificial intelligence (AI) techniques have offered great opportunities for the optimization of sustainable energy systems. AI techniques rely on the collection of big data, and thus it is necessary to design a fast and reliable communication network to support the need. This article studies the 6G network design based on the intelligent reflective surface (IRS) to realize an extraordinary communication platform. The IRS technology allows wireless providers to improve the RF environment by redirecting the signal to the desired location. In particular, we propose a deep reinforcement learning (DRL) method to adjust the parameters of IRS to ensure the signal quality of the 6G network. Numerical results demonstrate that our proposed IRS-based 6G network design can significantly improve the monitoring and management of sustainable energy systems."
Management and information disclosure of electric power environmental and social governance issues in the age of artificial intelligence,/doi/10.1016/j.compeleceng.2022.108390,"AbstractThis paper explores the key issues of environmental and social governance (ESG) issues and identifies the main ESG themes for companies in the power industry: sustainable development of green and clean energy, energy conservation and emission reduction, physical and mental safety of professionals, global climate change mitigation, supply chain management, community relationships, responsible governance. In-depth research and comparison are carried out on the related issues of sustainable development. Through validation, it is shown that these issues can have further solutions on ESG issues. Compared to other industries, the number of companies working on AI clean energy has increased by about 25%. In the artificial intelligence management of exhaust emissions, it will be reduced by about 20% than before. After using artificial intelligence, the health index of employees increased by about 4% year-on-year. Enterprise management efficiency has also increased by about 6%. This also shows that in the age of artificial intelligence, everything will be improved."
Detection Algorithm of Wind Power Equipment Video Image Sequence Based on Artificial Intelligence,/doi/10.1155/2022/5882950,"How to detect the data in the video image sequence and analyze it efficiently by using the artificial intelligence method is a frontline topic in the field of computer vision. Global wind energy resources are abundant, widely distributed, clean, and pollution-free and meet the requirements of sustainable economic and social development, so relying on the large-scale development and utilization of wind energy has been the common choice of many countries. A major goal of artificial intelligence research is to enable machines to perform complex tasks that normally require human intelligence to perform. The purpose of this study is to detect the video image sequence of wind power equipment based on artificial intelligence and analyze the effectiveness of the algorithm. In this study, augmented reality is used as an auxiliary means. According to the characteristics of the video image inside the fan, a moving target region detection algorithm based on the background difference method is proposed. The algorithm uses the difference between the current image and the background image, uses the first-order Kalman filter to update the dynamic background image, and then uses the adaptive threshold method to segment the moving region. After filtering, the moving target area can be obtained. The results show that the positive detection rate of 980 test samples is 99.6%, and the training time is only 3.785. It is concluded that the accuracy and the number of support vectors of this algorithm are better than other algorithms in the case of the same value of C. It shows that this study has a good detection effect. It provides an effective method for video image sequence detection of wind power equipment."
Applications of Intelligent Model to Analyze the Green Finance for Environmental Development in the Context of Artificial Intelligence,/doi/10.1155/2022/2977824,"Green finance can be referred to as financial investments made on sustainable projects and policies that focus on a sustainable economy. The procedures include promoting renewable energy sources, energy efficiency, water sanitation, industrial pollution control, transportation pollution control, reduction of deforestation, and carbon emissions, etc. Mainly, these green finance initiatives are carried out by private and public agents like business organizations, banks, international organizations, government organizations, etc. Green finance provides a financial solution to create a positive impact on society and leads to environmental development. In the age of artificial intelligence, all industries adopt AI technologies. In this research, we see the applications of the intelligent model to examine the green finance for ecological advancement with regard to artificial intelligence. Feasible transportation and energy proficiency and power transmission are two significant fields to be advanced and focused on minimizing the carbon impression in these industries. Renewable sources like solar energies for power generation and electric vehicles are to be researched and developed. This R&D requires a considerable fund supply, thus comes the green finance. Globally, green finance plays a vital role in creating a sustainable environment. In this research, for performing the green finance analysis, financial maximally filtered graph (FMFG) algorithm is implemented in different domains. The proposed algorithm is compared with the neural model and observed that the proposed model has obtained 98.85% of accuracy which is higher than the neural model."
Managing Sustainability Tensions in Artificial Intelligence: Insights from Paradox Theory,/doi/10.1145/3514094.3534175,"
This paper offers preliminary reflections on the sustainability tensions present in Artificial Intelligence (AI) and suggests that Paradox Theory, an approach borrowed from the strategic management literature, may help guide scholars towards innovative solutions. The benefits of AI to our society are well documented. Yet those benefits come at environmental and sociological cost, a fact which is often overlooked by mainstream scholars and practitioners. After examining the nascent corpus of literature on the sustainability tensions present in AI, this paper introduces the Accuracy - Energy Paradox and suggests how the principles of paradox theory can guide the AI community to a more sustainable solution.
"
HUNTER: AI based holistic resource management for sustainable cloud computing,/doi/10.1016/j.jss.2021.111124,"AbstractThe worldwide adoption of cloud data centers (CDCs) has given rise to the ubiquitous demand for hosting application services on the cloud. Further, contemporary data-intensive industries have seen a sharp upsurge in the resource requirements of modern applications. This has led to the provisioning of an increased number of cloud servers, giving rise to higher energy consumption and, consequently, sustainability concerns. Traditional heuristics and reinforcement learning based algorithms for energy-efficient cloud resource management address the scalability and adaptability related challenges to a limited extent. Existing work often fails to capture dependencies across thermal characteristics of hosts, resource consumption of tasks and the corresponding scheduling decisions. This leads to poor scalability and an increase in the compute resource requirements, particularly in environments with non-stationary resource demands. To address these limitations, we propose an artificial intelligence (AI) based holistic resource management technique for sustainable cloud computing called HUNTER. The proposed model formulates the goal of optimizing energy efficiency in data centers as a multi-objective scheduling problem, considering three important models: energy, thermal and cooling. HUNTER utilizes a Gated Graph Convolution Network as a surrogate model for approximating the Quality of Service (QoS) for a system state and generating optimal scheduling decisions. Experiments on simulated and physical cloud environments using the CloudSim toolkit and the COSCO framework show that HUNTER outperforms state-of-the-art baselines in terms of energy consumption, SLA violation, scheduling time, cost and temperature by up to 12, 35, 43, 54 and 3 percent respectively.Highlights •Artificial Intelligence based holistic resource management approach called HUNTER.•HUNTER is a thermal and energy-aware approach for resource scheduling in CDCs.•HUNTER manages resources (servers, memory, storage, network, cooling) holistically.•HUNTER is tested using a simulated and a physical cloud environment.•HUNTER optimizes energy consumption, SLA violation, time, cost and temperature. Graphical abstractDisplay Omitted"
Theory and Realization of Secondary Task Assignment for Multi-UAV Pickup Based on Green Scheduling,/doi/10.1155/2021/6618430,"The development of artificial intelligence technology has brought changes to various industries. Under the concept of green sustainable development, how to use the progress of science and technology to implement low-carbon strategies is a problem that every enterprise should consider. Aiming at the problem of picking up goods in logistics industry, this paper proposed a secondary task assignment theory for multiple unmanned aerial vehicle (Multi-UAV) based on green scheduling. The theory greatly improves the utilization rate of unmanned aerial vehicle (UAV) and reduces the energy consumption. We analyzed the advantages and disadvantages of local optimal algorithm and global optimal algorithm in time and energy consumption. Through repeated experiments in different ranges, we have well verified the high efficiency and general applicability of this theory, which can provide theoretical and practical implications for logistics enterprises using UAV to achieve low-carbon sustainable development in the future."
Lightweight Gramian Angular Field classification for edge internet of energy applications,/doi/10.1007/s10586-022-03704-1,"AbstractWith adverse industrial effects on the global landscape, climate change is imploring the global economy to adopt sustainable solutions. The ongoing evolution of energy efficiency targets massive data collection and Artificial Intelligence (AI) for big data analytics. Besides, emerging on the Internet of Energy (IoE) paradigm, edge computing is playing a rising role in liberating private data from cloud centralization. In this direction, a creative visual approach to understanding energy data is introduced. Building upon micro-moments, which are timeseries of small contextual data points, the power of pictorial representations to encapsulate rich information in a small two-dimensional (2D) space is harnessed through a novel Gramian Angular Fields (GAF) classifier for energy micro-moments. Designed with edge computing efficiency in mind, current testing results on the ODROID-XU4 can classify up to 7 million GAF-converted datapoints with ~ 90% accuracy in less than 30 s, paving the path towards industrial adoption of edge IoE."
Big-Data-Based Research on the Architecture Design of University Hydropower Intelligent Decision Service Platform,/doi/10.1145/3456415.3456416,"
With the continuous development and wide application of big data and artificial intelligence technology, how to efficiently use and mine the whole process data of university hydropower models, perception, business and flows, and realize the transformation of informationization of hydropower management to intelligentialize and wisdom, it has become one of the main tasks in the construction of universitiy informatization under the strategy of advocating energy conservation, lowcarbon sustainable development. Combining with the actual demand of university hydropower management, managing and serving the whole process of hydropower data collection, storage, analysis, monitoring and decision-making assistance, this paper proposes the architecture of an intelligent decision-making service platform for university hydropower on big data, and sorts out the core and key technologies in the platform development process and the current mainstream development frameworks and tools to provide technical references for the realization of intelligent hydropower management and application services in universities, and promote the overall planning and step-by-step implementation of smart campuses.
"
